entrant_level,campus,fall_term,count_type,ethnicity,n
freshman,Berkeley,2021,Adm,International,1691
freshman,Berkeley,2022,Adm,International,1254
freshman,Berkeley,2023,Adm,International,1167
freshman,Berkeley,2024,Adm,International,735
freshman,Berkeley,2025,Adm,International,1391
freshman,Berkeley,2017,Enr,African American,186
freshman,Berkeley,2018,Enr,African American,189
freshman,Berkeley,2019,Enr,African American,178
freshman,Berkeley,2020,Enr,African American,229
freshman,Berkeley,2021,Enr,African American,258
freshman,Berkeley,2022,Enr,African American,228
freshman,Berkeley,2023,Enr,African American,244
freshman,Berkeley,2024,Enr,African American,253
freshman,Berkeley,2025,Enr,African American,265
freshman,Berkeley,2017,Enr,American Indian,24
freshman,Berkeley,2018,Enr,American Indian,20
freshman,Berkeley,2019,Enr,American Indian,24
freshman,Berkeley,2020,Enr,American Indian,17
freshman,Berkeley,2021,Enr,American Indian,27
freshman,Berkeley,2023,Enr,American Indian,24
freshman,Berkeley,2024,Enr,American Indian,38
freshman,Berkeley,2025,Enr,American Indian,50
freshman,Berkeley,2017,Enr,Asian,2673
freshman,Berkeley,2018,Enr,Asian,2492
freshman,Berkeley,2019,Enr,Asian,2764
freshman,Berkeley,2020,Enr,Asian,2528
freshman,Berkeley,2021,Enr,Asian,2830
freshman,Berkeley,2022,Enr,Asian,2888
freshman,Berkeley,2023,Enr,Asian,2796
freshman,Berkeley,2024,Enr,Asian,2736
freshman,Berkeley,2025,Enr,Asian,2784
freshman,Berkeley,2017,Enr,Hispanic/Latino(a),922
freshman,Berkeley,2018,Enr,Hispanic/Latino(a),936
freshman,Berkeley,2019,Enr,Hispanic/Latino(a),972
freshman,Berkeley,2020,Enr,Hispanic/Latino(a),1308
freshman,Berkeley,2021,Enr,Hispanic/Latino(a),1312
freshman,Berkeley,2022,Enr,Hispanic/Latino(a),1335
freshman,Berkeley,2023,Enr,Hispanic/Latino(a),1462
freshman,Berkeley,2024,Enr,Hispanic/Latino(a),1318
freshman,Berkeley,2025,Enr,Hispanic/Latino(a),1349
freshman,Berkeley,2017,Enr,Pacific Islander,11
freshman,Berkeley,2018,Enr,Pacific Islander,11
freshman,Berkeley,2019,Enr,Pacific Islander,8
freshman,Berkeley,2020,Enr,Pacific Islander,12
freshman,Berkeley,2021,Enr,Pacific Islander,17
freshman,Berkeley,2023,Enr,Pacific Islander,19
freshman,Berkeley,2024,Enr,Pacific Islander,11
freshman,Berkeley,2025,Enr,Pacific Islander,14
freshman,Berkeley,2017,Enr,White,1565
freshman,Berkeley,2018,Enr,White,1277
freshman,Berkeley,2019,Enr,White,1359
freshman,Berkeley,2020,Enr,White,1045
freshman,Berkeley,2021,Enr,White,1314
freshman,Berkeley,2022,Enr,White,1326
freshman,Berkeley,2023,Enr,White,1196
freshman,Berkeley,2024,Enr,White,1152
freshman,Berkeley,2025,Enr,White,1112
freshman,Berkeley,2017,Enr,Unknown,301
freshman,Berkeley,2018,Enr,Unknown,288
freshman,Berkeley,2019,Enr,Unknown,301
freshman,Berkeley,2020,Enr,Unknown,258
freshman,Berkeley,2021,Enr,Unknown,277
freshman,Berkeley,2022,Enr,Unknown,233
freshman,Berkeley,2023,Enr,Unknown,285
freshman,Berkeley,2024,Enr,Unknown,382
freshman,Berkeley,2025,Enr,Unknown,349
freshman,Berkeley,2017,Enr,International,697
freshman,Berkeley,2018,Enr,International,799
freshman,Berkeley,2019,Enr,International,848
freshman,Berkeley,2020,Enr,International,720
freshman,Berkeley,2021,Enr,International,896
freshman,Berkeley,2022,Enr,International,674
freshman,Berkeley,2023,Enr,International,615
freshman,Berkeley,2024,Enr,International,382
freshman,Berkeley,2025,Enr,International,765
freshman,Davis,2017,App,African American,3240
freshman,Davis,2018,App,African American,3535
freshman,Davis,2019,App,African American,3425
freshman,Davis,2020,App,African American,3347
freshman,Davis,2021,App,African American,4308
freshman,Davis,2022,App,African American,4531
freshman,Davis,2023,App,African American,4405
freshman,Davis,2024,App,African American,4718
freshman,Davis,2025,App,African American,4774
freshman,Davis,2017,App,American Indian,332
freshman,Davis,2018,App,American Indian,334
freshman,Davis,2019,App,American Indian,277
freshman,Davis,2020,App,American Indian,256
freshman,Davis,2021,App,American Indian,288
freshman,Davis,2022,App,American Indian,423
freshman,Davis,2023,App,American Indian,472
freshman,Davis,2024,App,American Indian,523
freshman,Davis,2025,App,American Indian,491
freshman,Davis,2017,App,Asian,21039
freshman,Davis,2018,App,Asian,23661
freshman,Davis,2019,App,Asian,23804
freshman,Davis,2020,App,Asian,24136
freshman,Davis,2021,App,Asian,27350
freshman,Davis,2022,App,Asian,31064
freshman,Davis,2023,App,Asian,31732
freshman,Davis,2024,App,Asian,33192
freshman,Davis,2025,App,Asian,34183
freshman,Davis,2017,App,Hispanic/Latino(a),15972
freshman,Davis,2018,App,Hispanic/Latino(a),17741
freshman,Davis,2019,App,Hispanic/Latino(a),17526
freshman,Davis,2020,App,Hispanic/Latino(a),17206
freshman,Davis,2021,App,Hispanic/Latino(a),19543
freshman,Davis,2022,App,Hispanic/Latino(a),20586
freshman,Davis,2023,App,Hispanic/Latino(a),20530
freshman,Davis,2024,App,Hispanic/Latino(a),21546
freshman,Davis,2025,App,Hispanic/Latino(a),22248
freshman,Davis,2017,App,Pacific Islander,223
freshman,Davis,2018,App,Pacific Islander,241
freshman,Davis,2019,App,Pacific Islander,220
freshman,Davis,2020,App,Pacific Islander,202
freshman,Davis,2021,App,Pacific Islander,259
freshman,Davis,2022,App,Pacific Islander,238
freshman,Davis,2023,App,Pacific Islander,257
freshman,Davis,2024,App,Pacific Islander,225
freshman,Davis,2025,App,Pacific Islander,242
freshman,Davis,2017,App,White,14399
freshman,Davis,2018,App,White,14797
freshman,Davis,2019,App,White,14360
freshman,Davis,2020,App,White,13693
freshman,Davis,2021,App,White,16505
freshman,Davis,2022,App,White,16975
freshman,Davis,2023,App,White,16699
freshman,Davis,2024,App,White,16675
freshman,Davis,2025,App,White,16660
freshman,Davis,2017,App,Unknown,1824
freshman,Davis,2018,App,Unknown,2208
freshman,Davis,2019,App,Unknown,1959
freshman,Davis,2020,App,Unknown,2308
freshman,Davis,2021,App,Unknown,2265
freshman,Davis,2022,App,Unknown,2379
freshman,Davis,2023,App,Unknown,2502
freshman,Davis,2024,App,Unknown,3403
freshman,Davis,2025,App,Unknown,3546
freshman,Davis,2017,App,International,13926
freshman,Davis,2018,App,International,15507
freshman,Davis,2019,App,International,16522
freshman,Davis,2020,App,International,15755
freshman,Davis,2021,App,International,16618
freshman,Davis,2022,App,International,18552
freshman,Davis,2023,App,International,18041
freshman,Davis,2024,App,International,18582
freshman,Davis,2025,App,International,20844
freshman,Davis,2017,Adm,African American,895
freshman,Davis,2018,Adm,African American,971
freshman,Davis,2019,Adm,African American,962
freshman,Davis,2020,Adm,African American,1050
freshman,Davis,2021,Adm,African American,1536
freshman,Davis,2022,Adm,African American,1174
freshman,Davis,2023,Adm,African American,1327
freshman,Davis,2024,Adm,African American,1468
freshman,Davis,2025,Adm,African American,1526
freshman,Davis,2017,Adm,American Indian,143
freshman,Davis,2018,Adm,American Indian,134
freshman,Davis,2019,Adm,American Indian,120
freshman,Davis,2020,Adm,American Indian,138
freshman,Davis,2021,Adm,American Indian,159
freshman,Davis,2022,Adm,American Indian,168
freshman,Davis,2023,Adm,American Indian,192
freshman,Davis,2024,Adm,American Indian,212
freshman,Davis,2025,Adm,American Indian,206
freshman,Davis,2017,Adm,Asian,8832
freshman,Davis,2018,Adm,Asian,9310
freshman,Davis,2019,Adm,Asian,9635
freshman,Davis,2020,Adm,Asian,11150
freshman,Davis,2021,Adm,Asian,12805
freshman,Davis,2022,Adm,Asian,12056
freshman,Davis,2023,Adm,Asian,13254
freshman,Davis,2024,Adm,Asian,13733
freshman,Davis,2025,Adm,Asian,14967
freshman,Davis,2017,Adm,Hispanic/Latino(a),5234
freshman,Davis,2018,Adm,Hispanic/Latino(a),5616
freshman,Davis,2019,Adm,Hispanic/Latino(a),5604
freshman,Davis,2020,Adm,Hispanic/Latino(a),6124
freshman,Davis,2021,Adm,Hispanic/Latino(a),7256
freshman,Davis,2022,Adm,Hispanic/Latino(a),6273
freshman,Davis,2023,Adm,Hispanic/Latino(a),7576
freshman,Davis,2024,Adm,Hispanic/Latino(a),8132
freshman,Davis,2025,Adm,Hispanic/Latino(a),7980
freshman,Davis,2017,Adm,Pacific Islander,83
freshman,Davis,2018,Adm,Pacific Islander,68
freshman,Davis,2019,Adm,Pacific Islander,82
freshman,Davis,2020,Adm,Pacific Islander,80
freshman,Davis,2021,Adm,Pacific Islander,104
freshman,Davis,2022,Adm,Pacific Islander,78
freshman,Davis,2023,Adm,Pacific Islander,80
freshman,Davis,2024,Adm,Pacific Islander,70
freshman,Davis,2025,Adm,Pacific Islander,81
freshman,Davis,2017,Adm,White,6417
freshman,Davis,2018,Adm,White,6335
freshman,Davis,2019,Adm,White,6225
freshman,Davis,2020,Adm,White,6645
freshman,Davis,2021,Adm,White,8329
freshman,Davis,2022,Adm,White,6693
freshman,Davis,2023,Adm,White,7015
freshman,Davis,2024,Adm,White,6795
freshman,Davis,2025,Adm,White,7503
freshman,Davis,2017,Adm,Unknown,863
freshman,Davis,2018,Adm,Unknown,966
freshman,Davis,2019,Adm,Unknown,842
freshman,Davis,2020,Adm,Unknown,1121
freshman,Davis,2021,Adm,Unknown,1173
freshman,Davis,2022,Adm,Unknown,1086
freshman,Davis,2023,Adm,Unknown,1117
freshman,Davis,2024,Adm,Unknown,1524
freshman,Davis,2025,Adm,Unknown,1710
freshman,Davis,2017,Adm,International,8295
freshman,Davis,2018,Adm,International,8646
freshman,Davis,2019,Adm,International,6888
freshman,Davis,2020,Adm,International,9337
freshman,Davis,2021,Adm,International,11112
freshman,Davis,2022,Adm,International,7849
freshman,Davis,2023,Adm,International,8839
freshman,Davis,2024,Adm,International,9419
freshman,Davis,2025,Adm,International,11700
freshman,Davis,2017,Enr,African American,190
freshman,Davis,2018,Enr,African American,221
freshman,Davis,2019,Enr,African American,209
freshman,Davis,2020,Enr,African American,207
freshman,Davis,2021,Enr,African American,230
freshman,Davis,2022,Enr,African American,165
freshman,Davis,2023,Enr,African American,234
freshman,Davis,2024,Enr,African American,274
freshman,Davis,2025,Enr,African American,273
freshman,Davis,2017,Enr,American Indian,24
freshman,Davis,2018,Enr,American Indian,28
freshman,Davis,2019,Enr,American Indian,22
freshman,Davis,2020,Enr,American Indian,23
freshman,Davis,2021,Enr,American Indian,17
freshman,Davis,2022,Enr,American Indian,29
freshman,Davis,2023,Enr,American Indian,30
freshman,Davis,2024,Enr,American Indian,38
freshman,Davis,2025,Enr,American Indian,37
freshman,Davis,2017,Enr,Asian,1640
freshman,Davis,2018,Enr,Asian,1974
